from,to,weight
Myanmar,Thailand,0.175189285
Myanmar,Qatar,0.012924504
SaudiArabia,Indonesia,0.024926279
SaudiArabia,SaudiArabia,0.927248209
SaudiArabia,UnitedArabEmirates,0.002133737
SaudiArabia,Turkey,0.045021588
SaudiArabia,Germany,0.000670189
LaoPeople'sDemocraticRepublic,Thailand,0.923258288
LaoPeople'sDemocraticRepublic,LaoPeople'sDemocraticRepublic,0.076741712
Cambodia,Thailand,0.537035067
Cambodia,Germany,0.462964933
Yemen,Jordan,0.399283708
Yemen,UnitedArabEmirates,0.600716292
Jordan,Yemen,0.567954201
Jordan,Germany,0.020529201
Jordan,SyrianArabRepublic,0.411516598
Bahrain,UnitedArabEmirates,1
Iraq,Austria,0.202324619
Iraq,Turkey,0.659449734
Iraq,Germany,0.138225647
Austria,Iraq,0.100415434
Austria,Cyprus,0.056306579
Austria,Ukraine,0.081744155
Austria,Slovakia,0.008438198
Austria,Belarus,0.039411715
Austria,CzechRepublic,0.033366592
Austria,Greece,0.172083815
Austria,MacedoniaFormerYugoslavRepublicof,0.018165051
Austria,Albania,0.029790616
Austria,Germany,0.460277844
Georgia,Turkey,0.323012448
Georgia,Poland,0.623320711
Georgia,Germany,0.053666841
SyrianArabRepublic,Jordan,0.632073962
SyrianArabRepublic,UnitedArabEmirates,0.367926038
Cyprus,Turkey,0.205928639
Cyprus,Austria,0.220666049
Cyprus,RussianFederation,0.573405312
Israel,Israel,0.997962102
Israel,Germany,0.002037898
Armenia,RussianFederation,1
Azerbaijan,Turkey,0.172697453
Azerbaijan,RussianFederation,0.827302547
Poland,Georgia,0.005238856
Poland,Poland,0.152799743
Poland,Germany,0.07143279
Poland,Denmark,0.554982383
Poland,Hungary,0.177275699
Poland,Norway,0.003352947
Poland,Italy,0.013310902
Poland,France,0.014137352
Poland,UnitedKingdom,0.007469328
Oman,UnitedArabEmirates,0.38546823
Oman,Oman,0.61453177
Romania,Italy,0.504862185
Romania,Germany,0.11949092
Romania,Romania,0.001518938
Romania,Hungary,0.374127957
Bulgaria,Bulgaria,0.986591143
Bulgaria,Germany,0.013408857
CzechRepublic,Turkey,0.461147125
CzechRepublic,Austria,0.536352087
CzechRepublic,Germany,0.002500788
Slovakia,Turkey,0.704685135
Slovakia,Austria,0.295314865
Hungary,Germany,0.009665116
Hungary,Romania,0.105113834
Hungary,Poland,0.274358358
Hungary,Sweden,0.114328549
Hungary,Belgium,0.221917649
Hungary,UnitedKingdom,0.274616494
Ukraine,Austria,0.552305101
Ukraine,Germany,0.329493764
Ukraine,RussianFederation,0.118201135
MoldovaRepublicof,Germany,1
Denmark,Poland,0.068795609
Denmark,Denmark,0.587744373
Denmark,Germany,0.286720813
Denmark,FaroeIslands,0.005141678
Denmark,Norway,0.051597527
Belarus,Austria,1
Norway,Norway,0.90459774
Norway,Germany,0.000104301
Norway,Poland,0.01407817
Norway,Denmark,0.027059825
Norway,France,0.054159962
Sweden,Sweden,0.639258122
Sweden,Germany,0.099103035
Sweden,Hungary,0.261638843
IrelandRepublicof,UnitedKingdom,0.386308159
IrelandRepublicof,Portugal,0.613691841
FaroeIslands,Denmark,0.738335251
FaroeIslands,Iceland,0.261664749
Portugal,IrelandRepublicof,0.007552512
Portugal,Germany,0.098714334
Portugal,Portugal,0.893733153
Lithuania,Spain,0.985222106
Lithuania,Germany,0.014777894
Latvia,Germany,1
Estonia,Finland,1
Greece,Germany,0.131897221
Greece,Greece,0.40304625
Greece,Finland,0.077427729
Greece,Austria,0.3876288
Serbia,Germany,0.656816425
Serbia,Montenegro,0.343183575
Croatia,Germany,1
Gibraltar,UnitedKingdom,1
Slovenia,Germany,1
Malta,Germany,1
BosniaandHerzegovina,Germany,1
MacedoniaFormerYugoslavRepublicof,Austria,1
Montenegro,Serbia,1
Albania,Austria,1
Luxembourg,Germany,1
Australia,Australia,0.991715825
Australia,Singapore,0.003533397
Australia,UnitedArabEmirates,6.66E-05
Australia,Qatar,0.000135637
Australia,NewZealand,0.003413727
Australia,Vanuatu,0.000366305
Australia,Samoa,0.000768536
NewZealand,USA,0.000323544
NewZealand,NewZealand,0.907787149
NewZealand,Singapore,0.002492292
NewZealand,Australia,0.089397015
PapuaNewGuinea,PapuaNewGuinea,0.911499166
PapuaNewGuinea,Singapore,0.088500834
Fiji,USA,1
NewCaledonia,Japan,1
Vanuatu,Australia,1
Guam,Japan,1
Palau,KoreaRepublicof,1
NorthernMarianaIslands(exceptGuam),Japan,1
Samoa,Australia,1
FrenchPolynesia,USA,1
CookIslands,USA,1
