,from,to,weight,effdistance
505,Qatar,Myanmar,0.140510139,2.962
506,Qatar,Germany,0.0004991619999999999,8.603
507,Qatar,UnitedArabEmirates,0.010451373,5.561
508,Qatar,Australia,0.146398298,2.921
509,Nepal,Nepal,0.976619742,1.024
510,Nepal,Qatar,0.023380257999999998,4.756
511,Bangladesh,UnitedArabEmirates,1.0,1.0
512,SriLanka,Germany,0.31998195100000004,2.139
513,SriLanka,SriLanka,0.6800180490000001,1.386
514,Afghanistan,Afghanistan,0.9813921590000001,1.019
515,Afghanistan,Turkey,0.018607841,4.984
516,Pakistan,UnitedArabEmirates,0.016244812,5.12
517,Pakistan,Pakistan,0.983755188,1.016
518,Maldives,Germany,1.0,1.0
519,Indonesia,Indonesia,0.987666998,1.012
520,Indonesia,Singapore,0.001536456,7.478
521,Indonesia,UnitedArabEmirates,8.64e-06,12.659
522,Indonesia,SaudiArabia,0.010787902,5.529
523,Malaysia,Malaysia,0.939739355,1.062
524,Malaysia,UnitedKingdom,0.00031263,9.07
525,Malaysia,Singapore,0.05994801599999999,3.814
526,Philippines,Philippines,0.9873103209999999,1.013
527,Philippines,Qatar,0.012422281,5.388
528,Philippines,UnitedArabEmirates,0.000267398,9.227
529,Singapore,Indonesia,0.220116005,2.514
530,Singapore,BruneiDarussalam,0.048362410999999994,4.029
531,Singapore,Malaysia,0.10396579199999999,3.264
532,Singapore,Germany,0.0009731680000000001,7.935
533,Singapore,Australia,0.259383937,2.349
534,Singapore,NewZealand,0.24369197399999998,2.412
535,Singapore,PapuaNewGuinea,0.123506713,3.091
536,Thailand,Germany,1.01e-05,12.503
537,Thailand,Thailand,0.9982648740000001,1.002
538,Thailand,UnitedArabEmirates,0.00011499,10.071
539,Thailand,LaoPeople'sDemocraticRepublic,0.000603549,8.413
540,Thailand,Myanmar,0.000660534,8.322
541,Thailand,Cambodia,0.000345921,8.969
542,VietNam,VietNam,0.025323567999999998,4.676
543,VietNam,RussianFederation,0.966924243,1.034
544,VietNam,Germany,0.007752188,5.86
545,BruneiDarussalam,Singapore,1.0,1.0
546,Myanmar,Myanmar,0.8118862109999999,1.208
547,Myanmar,Thailand,0.175189285,2.742
548,Myanmar,Qatar,0.012924504,5.349
549,SaudiArabia,Indonesia,0.024926279,4.692
550,SaudiArabia,SaudiArabia,0.927248209,1.076
551,SaudiArabia,UnitedArabEmirates,0.002133737,7.15
552,SaudiArabia,Turkey,0.045021588,4.101
553,SaudiArabia,Germany,0.000670189,8.308
554,LaoPeople'sDemocraticRepublic,Thailand,0.923258288,1.08
555,LaoPeople'sDemocraticRepublic,LaoPeople'sDemocraticRepublic,0.076741712,3.567
556,Cambodia,Thailand,0.537035067,1.622
557,Cambodia,Germany,0.46296493299999997,1.77
558,Yemen,Jordan,0.39928370799999996,1.918
559,Yemen,UnitedArabEmirates,0.600716292,1.51
560,Jordan,Yemen,0.567954201,1.566
561,Jordan,Germany,0.020529201,4.886
562,Jordan,SyrianArabRepublic,0.41151659799999996,1.888
563,Bahrain,UnitedArabEmirates,1.0,1.0
564,Iraq,Austria,0.20232461899999998,2.598
565,Iraq,Turkey,0.659449734,1.416
566,Iraq,Germany,0.13822564699999998,2.979
567,Austria,Iraq,0.100415434,3.298
568,Austria,Cyprus,0.056306579,3.877
569,Austria,Ukraine,0.081744155,3.504
570,Austria,Slovakia,0.008438198000000001,5.775
571,Austria,Belarus,0.039411715,4.234
